Id,Id2,Geography,Households 2014,Households 2014 MOE,Median Income 2014,Median Income 2014 MOE,Households 2012,Households 2012 MOE,Median Income 2012,Median Income 2012 MOE,Adjusted 2012 Median Income,Percent Change
1400000US04019004723,04019004723,"Census Tract 47.23, Pima County, Arizona",2248,174,72756,9610,2355,191,74813,12780,77140.2143261584,-0.056834355
1400000US04019004724,04019004724,"Census Tract 47.24, Pima County, Arizona",1030,98,109000,19078,1073,100,120438,16932,124184.475064679,-0.1222735375
1400000US04019004725,04019004725,"Census Tract 47.25, Pima County, Arizona",1521,139,32192,9146,1502,151,37993,3994,39174.8514682439,-0.1782483202
1400000US04019004726,04019004726,"Census Tract 47.26, Pima County, Arizona",1824,106,105690,11544,1795,118,96058,14413,99046.0843401831,0.067079034
1400000US04019005200,04019005200,"Census Tract 52, Pima County, Arizona",1683,164,29967,9928,1593,159,30125,15474,31062.1009259824,-0.0352552111
1400000US04019005300,04019005300,"Census Tract 53, Pima County, Arizona",1264,93,91293,18379,1150,80,84554,15366,87184.2284380254,0.0471274637
1400000US04019940600,04019940600,"Census Tract 9406, Pima County, Arizona",319,44,25850,9465,302,65,25122,12603,25903.4721813288,-0.0020642862
1400000US04019940700,04019940700,"Census Tract 9407, Pima County, Arizona",393,63,14602,7263,360,87,8958,11035,9236.6572645627,0.5808749401
1400000US04019940800,04019940800,"Census Tract 9408, Pima County, Arizona",1055,119,27472,5604,1093,132,31960,4739,32954.18242637,-0.1663577131
1400000US04019940900,04019940900,"Census Tract 9409, Pima County, Arizona",613,61,31674,3039,617,70,26939,3972,27776.9937541922,0.1402961847
1400000US04019941000,04019941000,"Census Tract 9410, Pima County, Arizona",842,70,27031,3213,842,54,28846,4108,29743.3149646768,-0.0911907421
